1,3,5,39.71715927,-84.14300537
1,1,7,39.71715927,-84.14300537
1,3,10,39.71637726,-84.14378357
1,3,15,39.71559143,-84.1445694
1,3,20,39.71480942,-84.14535522
1,3,25,39.7140274,-84.14613342
1,3,30,39.71324158,-84.14691925
1,3,35,39.71245956,-84.14770508
1,3,40,39.71167374,-84.14848328
1,3,45,39.71089172,-84.1492691
1,3,50,39.71010971,-84.15005493
1,3,55,39.70932388,-84.15084076
1,3,60,39.70854187,-84.15161896
1,3,65,39.70775604,-84.15240479
1,3,70,39.70697403,-84.15319061
1,3,75,39.70619202,-84.15396881
1,3,80,39.70540619,-84.15475464
1,3,85,39.70462418,-84.15554047
1,3,90,39.70383835,-84.15631866
1,3,95,39.70305634,-84.15710449
1,3,100,39.70227432,-84.15789032
1,3,105,39.70148849,-84.15867615
1,3,110,39.70070648,-84.15945435
1,3,115,39.69992065,-84.16024017
1,3,120,39.69913864,-84.161026
1,3,125,39.69835281,-84.1618042
1,3,130,39.6975708,-84.16259003
1,3,135,39.69678879,-84.16337585
1,3,140,39.69600296,-84.16416168
1,3,145,39.69522095,-84.16493988
1,3,150,39.69443512,-84.16572571
1,3,155,39.69365311,-84.16651154
1,3,160,39.69287109,-84.16728973
1,3,165,39.69208527,-84.16807556
1,3,170,39.69130325,-84.16886139
1,3,175,39.69051743,-84.16963959
1,3,180,39.68973541,-84.17042542
1,3,185,39.6889534,-84.17121124
1,3,190,39.68816757,-84.17199707
1,3,195,39.68738556,-84.17277527
1,3,200,39.68659973,-84.1735611
1,3,205,39.68581772,-84.17434692
1,3,210,39.68503189,-84.17512512
1,3,215,39.68424988,-84.17591095
1,3,220,39.68346786,-84.17669678
1,3,225,39.68268204,-84.1774826
1,3,230,39.68190002,-84.1782608
1,3,235,39.6811142,-84.17904663
1,3,240,39.68033218,-84.17983246
1,3,245,39.67955017,-84.18061066
1,3,250,39.67876434,-84.18139648
1,3,255,39.67798233,-84.18218231
1,3,260,39.6771965,-84.18296051
1,3,265,39.67641449,-84.18374634
1,3,270,39.67563248,-84.18453217
1,3,275,39.67484665,-84.18531799
1,3,280,39.67406464,-84.18609619
1,3,285,39.67327881,-84.18688202
1,3,290,39.6724968,-84.18766785
1,3,295,39.67171478,-84.18844604
1,3,300,39.67092896,-84.18923187
1,3,305,39.67014694,-84.1900177
1,3,310,39.66936111,-84.19080353
1,3,315,39.6685791,-84.19158173
1,3,320,39.66779327,-84.19236755
1,3,325,39.66701126,-84.19315338
1,3,330,39.66622925,-84.19393158
1,3,335,39.66544342,-84.19471741
1,3,340,39.66466141,-84.19550323
1,3,345,39.66387558,-84.19628143
1,3,350,39.66309357,-84.19706726
1,3,355,39.66231155,-84.19785309
1,3,360,39.66152573,-84.19863892
1,3,365,39.66074371,-84.19941711
1,3,370,39.65995789,-84.20020294
1,3,375,39.65917587,-84.20098877
1,3,380,39.65839386,-84.20176697
1,3,385,39.65760803,-84.2025528
1,3,390,39.65698242,-84.20585632
1,3,415,39.65698242,-84.20585632
1,3,420,39.65760803,-84.2025528
1,3,425,39.65839386,-84.20176697
1,3,430,39.65917587,-84.20098877
1,3,435,39.65995789,-84.20020294
1,3,440,39.66074371,-84.19941711
1,3,445,39.66152573,-84.19863892
1,3,450,39.66231155,-84.19785309
1,3,455,39.66309357,-84.19706726
1,3,460,39.66387558,-84.19628143
1,3,465,39.66466141,-84.19550323
1,3,470,39.66544342,-84.19471741
1,3,475,39.66622925,-84.19393158
1,3,480,39.66701126,-84.19315338
1,3,485,39.66779327,-84.19236755
1,3,490,39.6685791,-84.19158173
1,3,495,39.66936111,-84.19080353
1,3,500,39.67014694,-84.1900177
1,3,505,39.67092896,-84.18923187
1,3,510,39.67171478,-84.18844604
1,3,515,39.6724968,-84.18766785
1,3,520,39.67327881,-84.18688202
1,3,525,39.67406464,-84.18609619
1,3,530,39.67484665,-84.18531799
1,3,535,39.67563248,-84.18453217
1,3,540,39.67641449,-84.18374634
1,3,545,39.6771965,-84.18296051
1,3,550,39.67798233,-84.18218231
1,3,555,39.67876434,-84.18139648
1,3,560,39.67955017,-84.18061066
1,3,565,39.68033218,-84.17983246
1,3,570,39.6811142,-84.17904663
1,3,575,39.68190002,-84.1782608
1,3,580,39.68268204,-84.1774826
1,3,585,39.68346786,-84.17669678
1,3,590,39.68424988,-84.17591095
1,3,595,39.68503189,-84.17512512
1,3,600,39.68581772,-84.17434692
1,3,605,39.68659973,-84.1735611
1,3,610,39.68738556,-84.17277527
1,3,615,39.68816757,-84.17199707
1,3,620,39.6889534,-84.17121124
1,3,625,39.68973541,-84.17042542
1,3,630,39.69051743,-84.16963959
1,3,635,39.69130325,-84.16886139
1,3,640,39.69208527,-84.16807556
1,3,645,39.69287109,-84.16728973
1,3,650,39.69365311,-84.16651154
1,3,655,39.69443512,-84.16572571
1,3,660,39.69522095,-84.16493988
1,3,665,39.69600296,-84.16416168
1,3,670,39.69678879,-84.16337585
1,3,675,39.6975708,-84.16259003
1,3,680,39.69835281,-84.1618042
1,3,685,39.69913864,-84.161026
1,3,690,39.69992065,-84.16024017
1,3,695,39.70070648,-84.15945435
1,3,700,39.70148849,-84.15867615
1,3,705,39.70227432,-84.15789032
1,3,710,39.70305634,-84.15710449
1,3,715,39.70383835,-84.15631866
1,3,720,39.70462418,-84.15554047
1,3,725,39.70540619,-84.15475464
1,3,730,39.70619202,-84.15396881
1,3,735,39.70697403,-84.15319061
1,3,740,39.70775604,-84.15240479
1,3,745,39.70854187,-84.15161896
1,3,750,39.70932388,-84.15084076
1,3,755,39.71010971,-84.15005493
1,3,760,39.71089172,-84.1492691
1,3,765,39.71167374,-84.14848328
1,3,770,39.71245956,-84.14770508
1,3,775,39.71324158,-84.14691925
1,3,780,39.7140274,-84.14613342
1,3,785,39.71480942,-84.14535522
1,3,790,39.71559143,-84.1445694
1,3,795,39.71637726,-84.14378357
1,3,800,39.71715927,-84.14300537
